Maruti Alto K10,Petrol,5.0,Automatic,27.0,4.09
Maruti Brezza,Petrol,5.0,Automatic,48.0,5.21
Mahindra Thar,Diesel,4.0,Automatic,57.0,10.48
Mahindra XUV700,Diesel,7.0,Automatic,60.0,6.16
Mahindra Scorpio-N,Diesel,7.0,Automatic,57.0,9.03
Toyota Fortuner,Diesel,7.0,Automatic,80.0,9.85
Hyundai Creta,Diesel,5.0,Automatic,50.0,7.1
Tata Punch,Petrol,5.0,Automatic,37.0,9.87
Mahindra Bolero,Diesel,7.0,Manual,60.0,11.82
Maruti Swift,Petrol,5.0,Automatic,37.0,8.68
Tata Nexon,Diesel,5.0,Automatic,44.0,11.4
Hyundai Venue,Petrol,5.0,Automatic,45.0,7.62
Kia Seltos,Diesel,5.0,Automatic,50.0,5.78
Hyundai Tucson,Diesel,5.0,Automatic,54.0,6.51
Tata Harrier,Diesel,5.0,Automatic,50.0,9.43
Maruti Baleno,Petrol,5.0,Automatic,37.0,11.9
Toyota Innova Crysta,Diesel,8.0,Automatic,55.0,5.07
Maruti Ertiga,Petrol,7.0,Automatic,45.0,10.53
Kia Sonet,Diesel,5.0,Automatic,45.0,5.81
Maruti Dzire,Petrol,5.0,Automatic,37.0,6.8
Honda City 4th Generation,Petrol,5.0,Manual,40.0,9.23
Land Rover Range Rover,Petrol,7.0,Automatic,90.0,11.35
Tata Tiago,CNG,5.0,Manual,60.0,7.72
Hyundai i20,Petrol,5.0,Automatic,37.0,7.11
Mahindra XUV300,Diesel,5.0,Automatic,42.0,6.78
MG Hector,Diesel,5.0,Manual,60.0,5.89
Tata Altroz,Diesel,5.0,Manual,37.0,8.28
Mahindra Scorpio Classic,Diesel,7.0,Manual,60.0,10.51
Hyundai Verna,Diesel,5.0,Automatic,45.0,9.29
Citroen C3,Petrol,5.0,Manual,30.0,6.42
Honda City,Diesel,5.0,Manual,40.0,6.0
Maruti Celerio,Petrol,5.0,Automatic,32.0,9.2
Nissan Magnite,Petrol,5.0,Automatic,40.0,11.55
Renault KWID,Petrol,5.0,Automatic,28.0,8.03
Land Rover Defender,Petrol,7.0,Automatic,89.0,8.11
